Deposit,Lat_WGS84,Long_WGS84,State,MinSystem,DepType,CritMin,FocusArea,DepCat,Rank ,Production,Resources,Source_s,Links
Red Mountain mine,31.50375,-110.71928,AZ,Porphyry Cu-Mo-Au,Lithocap alunite,aluminum,"Red Mountain, Arizona",CM resources,3,Unknown.,"Resource (1975): 25,000,000 metric tons @0.71% Cu; estimated 200 to 400 billion lbs Al. Prospective resource of more than 300 Mst (273 Mt grading 30 percent alunite (91 Mst [83 Mst] of alunite.",MRDS (2005); Dicken and others (2022); Vikre and others (2023),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10048337
Reed mine,39.6119,-76.455,MD,Mafic magmatic,Chromite,chromium,State Line district/BMC (Baltimore Mafic Complex),CM-past producer,1,"Production (??-1900): 100,000 long tons ore @46.1% Cr2O3.",Unknown.,MRDS (2005); Pearre and Heyl (1960),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10267083
Reef Ridge,63.3844,-154.3676,AK,Basin brine path,Zinc-lead (MVT and sedex),zinc,Farewell Terrane,CM resources,3,None.,"Inferred reserve of 1,800,000 tonnes @6.5% Zn. Up to 2,000 ppm Cd reported (Clautice and others, 1993).",ARDF-ID: MD055; Clautice and others (1993).,
Reese and Berry,39.4291,-116.06757,NV,Climax-type,Greisen-S-R beryllium,"beryllium, fluorspar",McCullough Butte,CM resources,3,Production considered to be small.,"District resource: Beryllium: Resource of 175 million metric tons, contained 47,000 metric tons of BeO, grade of 0.27% BeO, and grade of 0.01% Be. Fluorite (2015): 6,700,000 tons, 10.8% CaF2 (Indicated mineral resource, 9% CaF2 cutoff); 88,500,000 tons, 0.7% CaF2 (Inferred mineral resource, 9% CaF2 cutoff).",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10044701
Reiter,47.85203,-121.58538,WA,Porphyry Cu-Mo-Au,Porphyry/skarn copper,arsenic,Sultan Basin,CM-past producer,1,Production (1922-1923): 22 tons red As.,Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10103536
Rhyolite Ridge,37.81067,-117.85512,NV,Lacustrine evaporite,Lithium clay,lithium,Clayton Valley-Rhyolite Ridge lithium,CM resources,3,None.,"Total Rhyolite South Basin resources (2023): 360,200,000 metric tons @0.377% Li2O and 2.2% borates. Total reserves and resources for potash reported in 2018: 475,400,000 metric tons @0.870% K2O.",Karl and others (2019); Ioneer (2023); Sibanye Stillwater (2023),https://doi.org/10.5066/P9ZKRWQF
Rifle mine,39.66581,-107.68733,CO,Meteoric recharge,Sandstone uranium,vanadium,Entrada,CM-past producer,1,"Production: ~ 57,000 lbs U3O8 and 4,627 tV.",Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10090134
Riley mine/Riley Extension mine,41.18909,-117.25071,NV,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Northern Nevada tungsten skarns,CM-past producer+resources,5,"Production (Riley mine; 1943-1957): 337,000 short tons WO3; (Riley Extension mine; 1951-1957): 70,000 short tons WO3.","Resource (1943): 15,000 tons @0.6% WO3.",Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Robinson/Ely,39.26262,-114.99346,NV,Porphyry Cu-Mo-Au,Porphyry/skarn copper,rhenium,Ely (Robinson District),Recent producer+CM resources,4,"Production (Robinson mine; 1908-2015): 3,336,254 troy oz Au, 10,451,175 troy oz Ag, 7,544,033,000 lbs Cu, and 10,182,000 lbs Mo.","Resource (Ely; 2017): 754,000,000 metric tons ore @0.613% Cu, 0.01% Mo, 0.27 g/t Au, and 0.27 g/t Re.",Burger and Long (2018),https://doi.org/10.5066/F7KP81F2
"Rogers, Rogers No. 1 deposit",39.99698,-105.43733,CO,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Boulder County tungsten district,CM-past producer,1,"Production (1907-1994): 37,000 stu WO3.",Unknown.,Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Rosario North deposit,18.17094,-67.03755,PR,Chemical weathering,Nickel-cobalt laterite,"chromium, cobalt, nickel",Puerto Rico Ni-Co laterite,CM resources,3,None.,"Inferred drill-Indicated resource (1959): 4,800,000 short tons @0.58% Cr, 0.07% Co, 20.76% Fe, and 0.85% Ni; cutoff grade 0.6% Ni.",Burger and others (2018),https://doi.org/10.5066/P9V74HIU
Rosario South deposit,18.16582,-67.02142,PR,Chemical weathering,Nickel-cobalt laterite,"chromium, cobalt, nickel",Puerto Rico Ni-Co laterite,CM resources,3,None.,"Inferred drill-Indicated resource (1959): 1,100,000 short tons @0.34% Cr, 0.03% Co, 12.47% Fe, and 0.85% Ni; cutoff grade 0.71% Ni.",Burger and others (2018),https://doi.org/10.5066/P9V74HIU
Rose Creek mine,37.57367,-88.40974,IL,Hybrid magmatic REE / basin brine path,Fluorspar,"fluorspar, zinc",Illinois-Kentucky Fluorspar District,CM-past producer,1,"Production (1942-1949): 8,500 tons @60% CaF2 ore and 3,450 tons 35-50% CaF2 ore.",Unknown.,MRDS (2005); Denny and others (2020),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10266176
Rosiclare mine,37.42535,-88.34837,IL,Hybrid magmatic REE / basin brine path,Fluorspar,fluorspar,Illinois-Kentucky Fluorspar District,CM-past producer,1,"Production (began 1842 - mine flooded 1954): (1909-1915): averaged 40,000 tons of finished fluorspar produced each year; maximum yearly production of 100,000 tons in 1917.",Unknown.,MRDS (2005); Denny and others (2020),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10106427
Rossi,41.07462,-116.42954,NV,Basin brine path,Barite (replacement and bedded),barite,North-central Nevada barite,CM-recent producer+resources,6,"Authorized by Bureau of Land Management to process up to 600,000 tons of barite ore annually. Between 1947 and 1981, >1.890,000 metric tons Ba were produced from the Rossi/Sage Hen deposit. In 2021, produced 414 tons of barite.","Inactive 2015-2121; mine expansion completed in 2022. Active mine, data proprietary.",MRDS (2005); Nevada Division of Environmental Protection (2021),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10221439
Rough and Ready (OR),42.0984,-123.7493,OR,Mafic magmatic,Chromite,chromium,Klamath Mountains chromite,CM resources,3,None.,"Resource (1982): 5,931,000 metric tons ore @1.5% Cr2O3.",Lemons and others (1982),
Rough and Ready (SD),44.37893,-104.05145,SD,Porphyry Sn (granite-related),Pegmatite LCT,"tantalum, tin",Bear Lodge District and Broader Region,CM-past producer+resources,5,"Production (1906-1909): 14,330 tons ore @10.995 lbs/ton Sn. District production (1903-1927): 104.57 short tons of concentrate yielding 105,039 lbs Sn (Hess and Bryan, 1938). Tantalum (columbite) was mined from 1936-1938, which is also when a few tons of amblygonite were mined and shipped.","Ore reserve (1939): 450,800 short tons @6.33 lbs/ton Sn.",Karl and others (2018); MRDS (2005); Smith and Page (1941),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10299304
Round Top,31.27668,-105.4762,TX,Magmatic REE,Peralkaline syenite/granite/rhyolite/alaskite/pegmatites,"aluminum, beryllium, gallium, hafnium, lithium, magnesium, manganese, niobium, REE, scandium, tantalum, titanium, yttrium, zirconium",Texas-New Mexico alkaline belt,CM resources,3,None.,"Inferred resource (2019): 735,000,000 metric tons @6.52% Al, 18.22 ppm Be, 16.96 ppm Ga, 77.33 ppm Hf, 445.2 ppm Li, 0.01% Mg, 118.86 ppm Mn, 46.52 ppm Nb, 0.71 ppm Sc, 134.94 ppm Sn, 195.84 ppm Y, 1049.38 ppm Zr + abundant REE. Measured + Indicated resource (2019): 364,000,000 metric tons ore @6.56% Al, 32.15 ppm Be, 65.8 ppm Ga, 79.36 ppm Hf, 458.33 ppm Li, 0.03% Mg, 471.28 ppm Mn, 164.6 ppm Nb, 0.68 ppm Sc, 137.51 ppm Sn, 214 ppm Y, 1,104.1 ppm Zr + abundant REE.",Karl and others (2021a),
Ruby (Crystal Graphite),45.10259,-112.50528,MT,Metamorphic,Graphite (amorphous and flake),graphite,Southwest Montana graphite,CM-past producer,1,"Production (1902-1948): 2,200 tons of graphite.",Unknown. Active exploration in 2023.,MRDS (2005); Karl and others (2022a); Kerins and Close (2023),https://doi.org/10.5066/P99RK9SU
Saddleback Mountain,32.88622,-109.01981,NM,Porphyry Cu-Mo-Au,Lithocap alunite,aluminum,Saddleback Mountain-Goat Camp (and Steeple Rock district),CM resources,3,None.,Resource: potential alunite resource of 60 million tons with 30% alunite.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10062631
Sadler mine,32.39624,-107.7128,NM,Hybrid magmatic REE / basin brine path,Fluorspar,fluorspar,Cooks Range-Fluorite Ridge fluorite-manganese,CM-past producer,1,"Estimated total production 34,283 short tons of fluorspar.",Unknown.,MRDS (2005); McAnulty (1978),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10222988
Sage Plain,37.9654,-109.07658,UT,Meteoric recharge,Sandstone uranium,vanadium,Colorado Plateau sandstone uranium,CM-past producer+resources,5,"Historical production at the Calliham mine (reclaimed) and Sage mine. Calliham mine (1990-1991) produced 13,300 tons ore averaging 0.21% U3O8 (~56,000 lbs U3O8) and 1.29% V2O5 (~343,000 lbs V2O5).","Resources (2015): 1,611,000 lbs U3O8 and 13,261,000 lbs V2O5 in 475,100 tons of Measured and Indicated mineral resources @0.17% U3O8 and 1.40% V2O5. In addition, Inferred resources of 36,700 lbs U3O8 and 283, 600 lbs V2O5 in 11,800 tons ore @0.16% U3O8 and 1.2% V2O5.",Peters (2015),
Salmon Canyon,45.29972,-114.55751,ID,IOA-IOCG,Iron oxide copper gold,cobalt,Idaho Cobalt Belt,CM resources,3,None.,"Probable geologic resource (1979) 1,270,000 tons ore @0.2% Co, 1.3% Cu, 0.015 oz/ton Au, and 0.3 oz/ton Ag.",Burger and others (2018),https://doi.org/10.5066/P9V74HIU
Salmon River Bench,58.9392,-161.7022,AK,Placer,PGE,PGE,Placer PGE and Au,CM-past producer,5,"Dredge mining started in 1937. A significant part of the estimated 650,000 oz PGM and 15,600 oz Au produced from the Salmon River area placers was recovered from the Salmon River bench placer.","Measured and Indicated reserve estimates (from private company files) total over 63 million cubic yards with grades ranging from 0.0017 to 0.0084 oz/cubic yard PGM (Fechner, 1988).",ARDF-ID: HG032; Fechner (1988),
Salton Sea brine deposit,33.22882,-115.62648,CA,Lacustrine evaporite,Residual brine,lithium,Salton Trough lithium and potash,CM resources,3,None.,"Resource (2011): 316,000 tonnes Li.",Karl and others (2019),https://doi.org/10.5066/P9ZKRWQF
San Juan Silver,37.85665,-106.93612,CO,Alkalic porphyry,Polymetallic sulfide S-R-V-IS,zinc,Central Colorado epithermal Au-Ag,Past producer+CM resources,2,Produced silver in the 1980s.,"Inferred resources (2023): 2,570,000 metric tons @1.1% Zn, 1,4% Pb, 11.3 opt Ag, and 0.01 opt Au for 39,850 tons Zn, 49,400 tons Pb, 38,203 oz Ag, and 34 oz Au.",Hecla Mining Company (2023b),
San Manuel mine (Kalamazoo),32.6837,-110.69348,AZ,Porphyry Cu-Mo-Au,Porphyry/skarn copper,rhenium,Southwest Laramide Porphyry Belt,Past producer+CM resources,2,"Production (1955-2002): 15,924,900 troy oz Ag, 784,000 troy oz Au, 9,243,310,000 lbs Cu, and 140,047,000 lbs Mo.","Resource (2017): 1,390,000,000 metric tons ore @0.011% Mo, 0.6% Cu, 0.017 g/t Au, and 0.165 g/t Re.",Burger and Long (2018),https://doi.org/10.5066/F7KP81F2
San Rafael,38.97886,-110.37379,UT,Meteoric recharge,Sandstone uranium,vanadium,Colorado Plateau sandstone uranium,CM-past producer+resources,5,"Production (1948-1956): 60,584 short tons @0.25% U3O8 and 0.44% V2O5. Location for San Rafael #2 Mine.","Resources (2014): Indicated resources of 758,050 short tons of ore @0.225% U3O8 and 0.30 % V2O5 and Inferred resources of 453,850 short tons @0.205% U3O8 and 0.28% V2O5.",MRDS (2005); Gatten (2014),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10071430
Sandy Run Creek,35.31606,-81.69706,NC,Placer,Ilmenite/rutile/leucoxene,"REE, titanium, zirconium",Piedmont fluvial placers,CM resources,3,None.,"Reserves (1953): 5,604 tons ilmenite, 997 tons monazite-xenotime, 886 tons rutile, and 82 tons zircon.",Bellora and others (2019); Griffith and Overstreet (1953c),https://doi.org/10.5066/F7FN15D1
Sanford Hill-South Extension,44.05081,-74.05511,NY,IOA-IOCG,Iron oxide apatite,"REE, titanium, vanadium",Sanford Lake-Tahawas Mining District,CM-past producer+resources,5,Production of titanium and iron.,"Indicated reserve (1942): 4,200,000 short tons ore @0.24% V. Measured reserve (1942): 16,500,000 short tons @0.22% V. Resource (2002): 31,000,000 tons ilmenite. Mineville district dump tailings are estimated to contain 800,000 short tons of apatite in mine waste that could contain about 104,000 short tons of total REO.",MRDS (2005); Staatz and others (1980),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10082226
Sanostee deposit,36.45225,-108.89066,NM,Placer,Ilmenite/rutile/leucoxene,"REE, titanium, zirconium",Arizona-New Mexico Cretaceous placers,CM resources,3,None.,"Resource: 3.2 million tons @15.6% TiO2, 2.6% ZrO2, 0.12% ThO2 and minimum estimated 0.3% TREE.",MRDS (2005); McLemore (2010a),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10096167
Santa Rosa mine,36.41803,-117.72313,CA,Porphyry Cu-Mo-Au,Polymetallic sulfide S-R-V-IS,zinc,Eastern California tungsten,CM-past producer,1,"Production (through 1976?): 80,482 short tons @16.4% Pb, 6.2% Zn, and 11.6 oz/ton Ag.",Unknown.,MRDS (2005); Long (1992),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10076644
Savercool,40.14157,-121.10745,CA,Basin brine path,Barite (replacement and bedded),barite,Sierra Nevada Foothills barite,CM-past producer,1,"Production (1946-1953): 20,000 tons barite.",Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10140265
Sawmill beryl quarry,41.45079,-72.51312,CT,Porphyry Sn (granite-related),Pegmatite LCT,beryllium,Connecticut pegmatites,CM-past producer,1,District production (1942-1945): estimated as 26 tons beryl.,Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10240541
Scheelite Chief,38.79425,-114.35381,NV,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Shoshone Mining District,CM-past producer+resources,5,"Production (1916-1956): 107,860 stu WO3.","Inferred reserve (1943): 17,000 tons @0.7% WO3. Measured reserve (1943): 1,200 tons @0.75% WO3. Indicated reserve (1943): 6,200 tons ore @0.74% WO3.",Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Schullsburg mine,42.54168,-90.24261,WI,Basin brine path,Zinc-lead (MVT and sedex),"barite, germanium, zinc",Upper Mississippi Valley mineral district,CM-past producer,1,"District production (1800 to 1954): 832,365 short tons metallic Pb, 1,209,965 short tons Zn metal, and 2,441 short tons Cu ore. In addition, small tonnages of barite, Fe, and iron sulfide concentrates were also produced, and small quantities of Cd and Ge were also recovered as smelter byproducts.",Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10080282
Scrub Oaks,40.89131,-74.60091,NJ,IOA-IOCG,Iron oxide apatite,REE,Franklin-Sterling Hill mining district,Past producer+CM resources,2,"Production (1949): 206,444 tons Fe.","Resources (1959): 9,072 metric tons ore @3.3% REE.",MRDS (2005); Bellora and others (2019),https://doi.org/10.5066/F7FN15D1
Searles Lake brine deposit,35.71765,-117.31597,CA,Lacustrine evaporite,Residual brine,"lithium, tungsten",California lithium and potash,CM resources,3,None.,"Probable reserve (1976): 475,000,000 metric tons ore @0.005% Li. Unclassified reserve (1959): 1,200,000,000 short tons ore @70 ppm WO3.",Karl and others (2019),https://doi.org/10.5066/P9ZKRWQF
Searles Lake mine,35.725,-117.3302,CA,Lacustrine evaporite,Lithium clay,lithium,California lithium and potash,CM-past producer,1,"Production (1938-1978): 36,000 metric tons LiCO3.",Unknown.,Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Serpentine deposit,47.67528,-91.87185,MN,Mafic magmatic,Nickel-copper-PGE sulfide,nickel,Midcontinent Rift large mafic intrusions,CM resources,3,None.,"Resources (1979): over 250 million tons grading 0.41% Cu, 0.14% Ni, and 1.96% S were calculated using a 0.20% Cu cutoff. A higher-grade reserve of over 7 million tons at 0.88% Cu, 0.30% Ni, and 5.67% S was calculated at a 0.60% Cu cutoff. Additional possible reserves of 175 million tons were determined for adjacent land.",MRDS (2005); Kulas (1979); Listerud and Meineke (1977); Zanko and others (1994),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10082823
Sevier Playa,38.9392,-113.1411,UT,Lacustrine evaporite,Residual brine,potash,Paradox Basin evaporites,CM resources,3,None.,"Inferred resource (2018): 1,745,000 metric tons MgSO4, 553,000 metric tons K2SO4, 16,988,000 metric tons NaCl, and 87,000 metric tons Na2SO4. Measured + Indicated resource (2018): 27,104,000 metric tons MgSO4, 9,538,000 metric tons K2SO4, 272,236,000 metric tons NaCl, and 1,349,000 metric tons Na2SO4.",Brebner and others (2018),
Shallenberger,48.10405,-117.9892,WA,Basin brine path,Barite (replacement and bedded),barite,South Stevens County barite,CM resources,3,None.,"Resource (with Deer Park #1): 8,000 tons of Measured and Indicated ore and 10,000 tons of Inferred ore.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10180808
Shannon Queen prospect,38.00551,-115.69893,NV,Climax-type,Fluorspar,fluorspar,Quinn Canyon district,CM-past producer+resources,5,District production 50 short tons fluorspar up to 1951.,"Estimated reserves (1956): 12,000 short tons @51% CaF2.",MRDS (2005); Nevada Bureau of Mines and Geology (2017),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10044459
Sheep Hill,61.5813,-144.9908,AK,Mafic magmatic,Chromite,chromium,Chugach Mountains-Kodiak Island PGE,CM resources,3,None.,"Reserve (1985): 26,000 tons Cr2O3 for deposit 17 at Sheep Hill.",ARDF-ID: VA015; Foley and Barker (1985),
Sherman mine,39.22809,-106.17561,CO,Porphyry Cu-Mo-Au,Polymetallic sulfide S-R-V-IS,zinc,Central Colorado Mineral Belt carbonate-replacement deposits,CM-past producer+resources,5,"Production: 1 million oz Ag, 51,500 g Au, 220,000 tons Pb, ~ 3,000 tons Cu, and 70,900 tons Zn.","Resource: 1.17 million tons @2.7% Zn, 6% Pb, and 610 g/ton Ag.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10190904
Shooting Creek placer,35.05011,-83.7499,NC,Placer,Ilmenite/rutile/leucoxene,titanium,Blue Ridge placers,CM resources,3,None.,"Inferred resource: 68,812 tons or 12 lbs TiO2/cubic yard; estimated 172,000 tons of concentrate with 4% recoverable TiO2.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10069118
Shoshone mines,35.83888,-116.10225,CA,Porphyry Cu-Mo-Au,Polymetallic sulfide S-R-V-IS,zinc,Shoshone Mining District California,CM-past producer+resources,5,"Production (1907 through 1953): 439,126 short tons ore @12.8% Pb, 2.0% Zn, and 6.5 oz/short ton Ag.","Reserves (1992): 300,000 short tons ore @6.0% Pb, 6.8% Zn, and 2.5 oz/ton Ag.",MRDS (2005); Long (1992); Goodwin (1957),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10033994
Shrine mine,32.65512,-108.4525,NM,Hybrid magmatic REE / basin brine path,Fluorspar,fluorspar,Burro Mountains,CM-past producer,1,"Estimated district total production 71,736 short tons of fluorspar.",Unknown.,MRDS (2005); McAnulty (1978),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10069415
Shylo Group,40.11386,-107.66038,CO,Meteoric recharge,Sandstone uranium,vanadium,Meeker,CM-past producer,1,"Production (as of 1971): 3,060 tons ore @0.22% U3O8 (13,340 lbs) and 0.87% V2O5 (53.291 lbs).",Unknown.,MRDS (2005),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10013417
Sierra magnesite mine,38.86659,-117.88427,NV,Porphyry Cu-Mo-Au,Skarn magnesite,magnesium,Gabbs magnesite,CM-recent producer+resources,6,"Production: 80,000 tons of Mg metal was produced from 900,000 tons of magnesite ore. Premier Magnesia, LLC is currently (2023) operating an active mine (production data proprietary).",Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10008840
Sierrita deposit,31.87164,-111.13861,AZ,Porphyry Cu-Mo-Au,Porphyry/skarn copper,rhenium,Southwest Laramide Porphyry Belt,Recent producer+CM resources,4,"Active mine in 2023. Production for 2022: 83,461 metric tons Cu; 7,711 metric tons Mo. Production (1959-2015): 9,396,226,000 lbs Cu, 15,000,000 troy oz Ag, and 829,770,000 lbs Mo.","Total reserves and resources (2022): 6,617,000 metric tons @0.195% Cu, 0.018% Mo, and 0.83 g/t Ag (Re not reported). Proven + Probable mineral reserve (2016): 2,434,000,000 metric tons mill ore @0.23% Cu, 0.02% Mo, and 1.36 g/tonne Ag. Resource (Sierrita-Esperanza; 2017): 2,262,000,000 metric tons ore @0.116 g/metric ton Re and 0.003 g/metric ton Au.","Burger and Long (2018); Freeport-McMoRan, Inc. (2022)",https://doi.org/10.5066/F7KP81F2
Silica deposit,36.03333,-88.18333,TN,Placer,Monazite/xenotime,REE,McNairy Sand placers,Past producer+CM resources,2,Production of silica sand.,"Resource (1989): 26,700,000 metric tons @0.013% monazite.",Bellora and others (2019),https://doi.org/10.5066/F7FN15D1
Silver Bell,32.415,-111.521,AZ,Porphyry Cu-Mo-Au,Porphyry/skarn copper,rhenium,Southwest Laramide Porphyry Belt,CM resources,3,Unknown.,"Resource (2017): 268,000,000 metric tons ore @0.66% Cu, 0.026 g/metric tons Au, 0.013% Mo, and 0.115 g/metric ton Re.",Burger and Long (2018),https://doi.org/10.5066/F7KP81F2
Silver Creek,35.69729,-81.76431,NC,Placer,Ilmenite/rutile/leucoxene,"REE, titanium, zirconium",Piedmont fluvial placers,CM resources,3,None.,"Indicated + Inferred reserves (1954): 6,252 tons monazite. 38,480 tons ilmenite, and 6,840 tons zircon.",Bellora and others (2019); Hansen and White (1954),https://doi.org/10.5066/F7FN15D1
Silver Dyke,38.31691,-118.19709,NV,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Central Nevada tungsten skarns,CM-past producer,1,"Production (1916-1972): 65,000 stu WO3.",Unknown.,Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Silver Hill mine,47.557,-117.32861,WA,Porphyry Sn (granite-related),Polymetallic sulfide S-R-V-IS,tin,Silver Hill tin,CM-past producer,1,Production (1907-1912): 125 tons ore @6% Sn.,Unknown.,Karl and others (2018),https://doi.org/10.5066/P97JYNJL
Silver Leaf Graphite Co. Mine,43.54125,-73.48899,NY,Metamorphic,Graphite (coal or carbonaceous sed),graphite,Glens Falls Graphite Areas,CM resources,3,Unknown.,Area contains 10 to 13 million tons of graphite schist.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10247786
Silver Peak brine operation (Clayton Valley),37.79778,-117.55347,NV,Lacustrine evaporite,Residual brine,lithium,Clayton Valley-Rhyolite Ridge lithium,CM-recent producer+resources,6,"Production (1967-2017): 47,471 metric tons Li. Annual production for the years 2020-2022: 2,000 metric tons of lithium metal. In 2021, shipped 12,963,995 lbs of lithium compounds.","Demonstrated in situ mineral reserve (1986): 240,000,000 metric tons brine @0.033% Li. Total reserves and resources (2022): 208,700 metric tons @0.023% Li2O.",Karl and others (2019); Albemarle Corporation (2022),https://doi.org/10.5066/P9ZKRWQF
Silver Tail mine,32.81345,-107.66893,NM,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Tierra Blanca Mining District,CM-past producer,1,Production: about 5 tons of ore assaying 4% WO3 (1942); 50 tons of ore assaying 3% WO3 (1955).,Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10011711
Sleitat Mountain,60.0475,-157.0775,AK,Porphyry Sn (granite-related),Porphyry/skarn,"tin, tungsten",Kuskokwim Mountains PCD,CM resources,3,None.,"Non-compliant Inferred resource (1991): 28,600,000 short tons @0.37% Sn, 0.04% W, and 17 ppm Ag.",ARDF-ID: TA010; Karl and others (2020); Burleigh (1991); Ellis (2006),https://doi.org/10.5066/P97NJLI4
Slick Rock,38.04972,-108.85778,CO,Meteoric recharge,Sandstone uranium,vanadium,Colorado Plateau sandstone uranium,CM-past producer+resources,5,"Production (1957-1983): 2,236,723 lbs U3O8 and 13,941,457 lbs V2O5.","Inferred mineral resource (at a 0.15% eU3O8 cutoff) of 2,549 ktons @ an estimated 0.228% eU3O8 grade which contains an estimated 11.6 million pounds U3O8 and 69.6 million pounds V2O5 @ an estimated 1.37% V2O5 grade.",Beahm and others (2014),
Smokey Canyon,42.6968,-111.1319,ID,Marine chemocline,Phosphate,REE,Phosphoria Formation,Past producer+CM resources,2,Production of phosphate.,"Resource (1989): 35,000,000 metric tons ore @0.158% monazite.",Bellora and others (2019),https://doi.org/10.5066/F7FN15D1
Smucker,67.2972,-157.1738,AK,Basin brine path,Zinc-lead (MVT and sedex),zinc,Southern Brooks Range-Ambler,CM resources,3,None.,"An unclassified historical resource estimate for the Smucker deposit totals 7.2 million mt grading at 0.5% Cu, 4.9% Zn, 1.7% Pb, 156 g/t Ag and 1.1g/t Au, based on 1970s drilling by Anaconda. ",ARDF-ID: AR033; Davis and others (2017),
South Hill (Salado),33.1094,-107.5038,NM,Hybrid magmatic REE / basin brine path,Fluorspar,fluorspar,Salado Mountains district,CM resources,3,None.,"Probable reserve (1973): 2,350,000 tons ore @19.35% CaF2.",McAnulty (1978),
South Mountain,42.73704,-116.9189,ID,Porphyry Cu-Mo-Au,Polymetallic sulfide S-R-V-IS,zinc,South Mountain district,CM-past producer+resources,5,"Production (1941 - 1953): 53,653 metric tons of ore produced 15,600,000 lbs Zn, 2,600,000 lbs Pb, 13,932 lbs Cu, 566,343 oz Ag, and 3,118 oz Au.","Total Measured, Indicated, and Inferred resources (2021): 943,950 metric tons @8.03% Zn, 0.98% Pb, 0.77% Cu, 187 g/t Ag, and 1.56 g/t.","Choquette and others (2019, 2021)",
South Muddy Creek,35.6591,-81.85585,NC,Placer,Ilmenite/rutile/leucoxene,"REE, titanium, zirconium",Piedmont fluvial placers,CM resources,3,None.,"Indicated + Inferred reserves (1954): 5,796 tons monazite, 18,290 tons ilmenite, and 6,340 tons zircon.",Bellora and others (2019); Hansen and White (1954),https://doi.org/10.5066/F7FN15D1
Southwestern graphite mine,30.78491,-98.35783,TX,Metamorphic,Graphite (coal or carbonaceous sed),graphite,Central Texas graphite,CM-past producer+resources,5,"Production (1937-1979): 75,000 metric tons graphite.","Resource (1987): 800,000 metric tons ore @5.2% graphite.",Karl and others (2022a),https://doi.org/10.5066/P99RK9SU
Spar Hill mine,32.6229,-108.47923,NM,Hybrid magmatic REE / basin brine path,Fluorspar,fluorspar,Burro Mountains,CM-past producer,1,"Spar Hill mine produced 1940-1945. Average grade 52.5% CaF2. Estimated district total production 172,539 short tons of fluorspar.",Unknown.,MRDS (2005); Richter and Lawrence (1983),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10013310
Spar mine,38.13578,-115.67,NV,Climax-type,Fluorspar,fluorspar,Quinn Canyon district,CM-past producer+resources,5,District production 50 short tons fluorspar up to 1951.,"Estimated reserves (1956): 33,000 short tons @80% CaF2.",MRDS (2005); Nevada Bureau of Mines and Geology (2017),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10044455
